CR 7; Ashaya d'Lyrandar; half-elf; sorcerer 4/dragonmark heir 3; LN; Eberron Campaign Setting p. 74
CR 9; Gathan Warden; human; ranger 5/warden of the wood Eldeen Ranger 4; N; Eberron Campaign Setting p. 76
CR 10; Davienne of Sigilstar; halfling; cleric5/exorcist of the silver flame 5 ; LG; Eberron Campaign Setting p. 78
CR 9; Rous; chengeling; rogue 6/extreme explorer 3; LN; Eberron Campaign Setting p. 80
CR 14; Rurik d'Kundarak; dwarf; fighter 12/heir os Siberys 2; N; Eberron Campaign Setting p. 81
CR 8; Creilath Movanek; half-elf; bard 4/master inquisitive 4; N; Eberron Campaign Setting p. 83
CR 9; Battering Ram; warforged; fighter 5/warforged juggernaut 4; N; Eberron Campaign Setting p. 84
CR 10; Gwentan the Bear; shifter; barbarian 3/ranger 2/weretouched master 5; CN; Eberron Campaign Setting p. 87
CR 4 Typical Aurum Concordian; dwarf; aristocrat 5; LE; Eberron Campaign Setting p. 227
CR 7; Ashaya d'Lyrandar; half-elf; sorcerer 4/dragonmark heir 3; LN; Eberron Campaign Setting p. 74
CR 5; Typical Blood of Vol Priest; half-elf; cleric 5; LE; Eberron Campaign Setting p. 228
CR 4; Typical Silver Flame Priest; human; cleric 4; LG; Eberron Campaign Setting p. 230
CR 4; Typical Dragon Below Cultist; human; rogue 2/cleric 2; NE; Eberron Campaign Setting p. 231
CR 2; Typical House Cannith Magewright; human; magewright 3; NG; Eberron Campaign Setting p. 232
CR 5; Typical House Deneith Sentinel Marshal; human; paladin 5; LG; Eberron Campaign Setting p. 233
CR 3; Typical House Ghallanda Innkeeper; halfling; rogue 2/expert 2; NG; Eberron Campaign Setting p. 233
CR 2; Typical House Jorasco Healer; halfling; adept 3; NG; Eberron Campaign Setting p. 233
CR 2; Typical House Kundarak Banker; dwarf; expert 3; LN; Eberron Campaign Setting p. 234
CR 3; Typical House Lyrandar Windwright; half-elf; expert 4; CG; Eberron Campaign Setting p. 235
CR 3; Typical House Medani Sentry; half-elf; expert 3/fighter 1; LG; Eberron Campaign Setting p. 235
CR 5; Typical House Orien Courier; human; rogue 3/expert 3; N; Eberron Campaign Setting p. 236
CR 4; Typical House Phiarlan Entertainer/Spy; elf; bard 4; CN; Eberron Campaign Setting p. 236
CR 5; Typical House Sivis Scribe; gnome; expert 6; N; Eberron Campaign Setting p. 238
CR 4; Typical House Tharashk Bounty Hunter; half-orc; ranger 4; NE; Eberron Campaign Setting p. 238
CR 7; Typical House Thuranni Assassin; elf; rogue 6/assassin 1; CE; Eberron Campaign Setting p. 239
CR 2; Typical House Vadalis Handler; human; commoner 5; NG; Eberron Campaign Setting p. 240
CR 8; Typical Dreaming Dark Spy; inspired; psion (seer) 4/rogue 3; LE; Eberron Campaign Setting p. 240
CR 4; Typical Gatekeeper Initiate; half-orc; druid 4; N; Eberron Campaign Setting p. 241
CR 5; Typical Library Clerk; gnome; expert 6; LN; Eberron Campaign Setting p. 242
CR 13; Typical Lords of Dust Member; zakya rakshasa; fighter 5; LE; Eberron Campaign Setting p. 243
CR 3; Typical Morgrave Professor; dwarf; expert 4; LG; Eberron Campaign Setting p. 244
CR 1; Typical Emerald Claw Soldier; human; warrior 2; LE; Eberron Campaign Setting p. 245
CR 3; Typical Royal Scion; human; aristocrat 3; LG; Eberron Campaign Setting p. 245
CR 8; Typical Artificer of the Twelve; human; artificer 8; NG; Eberron Campaign Setting p. 246
CR 5; Typical Warden of the Wood; human; druid 6; LN; Eberron Campaign Setting p. 247
CR 8; Typical Wayfinder Explorer; changeling; rogue 5/ranger 1/extreme explorer 2; CN; Eberron Campaign Setting p. 247
CR 4; Demise (4th level); elf; artificer1/necromancer 3; NE; Eberron Campaign Setting p. 252
CR 4; Demise (8th level); elf; artificer1/necromancer 3; NE; Eberron Campaign Setting p. 252
CR 5; Halas Martain (5th level); half-elf; rogue 3/ranger 2; N; Eberron Campaign Setting p. 253
CR 9; Halas Martain (9th level); half-elf; rogue 3/ranger 2; N; Eberron Campaign Setting p. 253
CR 1; Cutter; warforged; barbarian 1; CN; Eberron Campaign Setting p. 308
CR 3; Sgt. Dolom; dwarf; fighter 3; LG; Eberron Campaign Setting p. 309
CR 1; Watch Guards; human; warrior 2; LN; Eberron Campaign Setting p. 310
CR 1; Skakan; goblin; expert 3; NE; Eberron Campaign Setting p. 311
CR 1; Warforged; warforged; rogue 2; LE; Eberron Campaign Setting p. 312
CR 3; Saber; warforged; fighter 3; LE; Eberron Campaign Setting p. 317
CR 7; Queen Aurala; human; aristocrat 8; NG; Five Nations p. 22
CR 10; Prince Jurian ir/Wynarn; human; rogue 5/fighter 4; CG; Five Nations p. 23
CR 11; Margana Corleis; human; wizard 11; N; Five Nations p. 24
CR 10; Lieutenant bara Mernu; human; fighter 1/wizard 5/knight phantom 4; LE; Five Nations p. 44
CR 10; King Boranel; human; aristocrat 3/fighter 8; CG; Five Nations p. 58
CR 4; Kor ir/Wynarn Commander of the Citadel; human; aristocrat 3/fighter 3; NG; Five Nations p. 58
CR 8; Three; warforged; fighter 3/paladin 5; LG; Five Nations p. 59
CR 1/2; Haydith ir'Wynarn; human; aristocrat 1; CG; Five Nations p. 60
CR 10; Aron â€œSharpswordâ€ Fain; human; rogue 2/fighter 4/dark lantern 4; LG; Five Nations p. 73
CR 12; The Lord of Blades; warforged; fighter 2/artificer 5/warforged juggernaut 5; LE; Five Nations p. 84
CR 9; Mirasandra ir'Thavar; half-elf; aristocrat 4/ranger 2/Cyran avenger 3; CG; Five Nations p. 90
CR 16; King Kaius; human vampire; aristocrat 2/fighter 11; LE; Five Nations p. 104
CR 12; Malevanor High Priest of Vol; mummy; cleric 8; LE; Five Nations p. 106
CR 10; Madox Kaminarr; human; paladin 4/bone knight 6; LN; Five Nations p. 121
CR 4; Sample Madborn; half-elf; ranger 3; N; Five Nations p. 124
CR 3; Jaela Daran Keeper of the Flame; human; cleric 3; LG; Five Nations p. 138
CR 18; Jaela Daran (Inside the Cathedral in Flamekeep); human; cleric 18; LG; Five Nations p. 138
CR 3; Queen Daini ir'Wynarn; human; aristocrat 4; NG; Five Nations p. 140
CR 8; Dzarro Silvervein; dwarf; fighter 8; NG; Five Nations p. 141
CR 8; Captain Malik Otherro; human; paladin 8; LG; Five Nations p. 141
CR 12; High Cardinal Krozen; human; cleric 12; LE; Five Nations p. 142
CR 8; Kievan ir'Talar; human; wizard 5/cleric 1/silver pyromancer 2; LG; Five Nations p. 154
CR 1; Typical Lyrandar Travel Official; half-elf; expert 1/magewright 1; LN; Explorer's Handbook p. 16
CR 4; Typical Orien Secret Courier; human; ranger 3/rogue 1; N; Explorer's Handbook p. 17
